--------------------------------------------------------------------------------
Process Logger 2019-04-25 23:38:16.030481
--------------------------------------------------------------------------------
{'vms': 181.015625, 'username': 'root', 'pid': 1, 'name': 'systemd'}
{'vms': 0.0, 'username': 'root', 'pid': 2, 'name': 'kthreadd'}
{'vms': 0.0, 'username': 'root', 'pid': 4, 'name': 'kworker/0:0H'}
{'vms': 0.0, 'username': 'root', 'pid': 6, 'name': 'mm_percpu_wq'}
{'vms': 0.0, 'username': 'root', 'pid': 7, 'name': 'ksoftirqd/0'}
{'vms': 0.0, 'username': 'root', 'pid': 8, 'name': 'rcu_sched'}
{'vms': 0.0, 'username': 'root', 'pid': 9, 'name': 'rcu_bh'}
{'vms': 0.0, 'username': 'root', 'pid': 10, 'name': 'migration/0'}
{'vms': 0.0, 'username': 'root', 'pid': 11, 'name': 'watchdog/0'}
{'vms': 0.0, 'username': 'root', 'pid': 12, 'name': 'cpuhp/0'}
{'vms': 0.0, 'username': 'root', 'pid': 13, 'name': 'cpuhp/1'}
{'vms': 0.0, 'username': 'root', 'pid': 14, 'name': 'watchdog/1'}
{'vms': 0.0, 'username': 'root', 'pid': 15, 'name': 'migration/1'}
{'vms': 0.0, 'username': 'root', 'pid': 16, 'name': 'ksoftirqd/1'}
{'vms': 0.0, 'username': 'root', 'pid': 18, 'name': 'kworker/1:0H'}
{'vms': 0.0, 'username': 'root', 'pid': 19, 'name': 'cpuhp/2'}
{'vms': 0.0, 'username': 'root', 'pid': 20, 'name': 'watchdog/2'}
{'vms': 0.0, 'username': 'root', 'pid': 21, 'name': 'migration/2'}
{'vms': 0.0, 'username': 'root', 'pid': 22, 'name': 'ksoftirqd/2'}
{'vms': 0.0, 'username': 'root', 'pid': 24, 'name': 'kworker/2:0H'}
{'vms': 0.0, 'username': 'root', 'pid': 25, 'name': 'cpuhp/3'}
{'vms': 0.0, 'username': 'root', 'pid': 26, 'name': 'watchdog/3'}
{'vms': 0.0, 'username': 'root', 'pid': 27, 'name': 'migration/3'}
{'vms': 0.0, 'username': 'root', 'pid': 28, 'name': 'ksoftirqd/3'}
{'vms': 0.0, 'username': 'root', 'pid': 30, 'name': 'kworker/3:0H'}
{'vms': 0.0, 'username': 'root', 'pid': 31, 'name': 'cpuhp/4'}
{'vms': 0.0, 'username': 'root', 'pid': 32, 'name': 'watchdog/4'}
{'vms': 0.0, 'username': 'root', 'pid': 33, 'name': 'migration/4'}
{'vms': 0.0, 'username': 'root', 'pid': 34, 'name': 'ksoftirqd/4'}
{'vms': 0.0, 'username': 'root', 'pid': 36, 'name': 'kworker/4:0H'}
{'vms': 0.0, 'username': 'root', 'pid': 37, 'name': 'cpuhp/5'}
{'vms': 0.0, 'username': 'root', 'pid': 38, 'name': 'watchdog/5'}
{'vms': 0.0, 'username': 'root', 'pid': 39, 'name': 'migration/5'}
{'vms': 0.0, 'username': 'root', 'pid': 40, 'name': 'ksoftirqd/5'}
{'vms': 0.0, 'username': 'root', 'pid': 42, 'name': 'kworker/5:0H'}
{'vms': 0.0, 'username': 'root', 'pid': 43, 'name': 'cpuhp/6'}
{'vms': 0.0, 'username': 'root', 'pid': 44, 'name': 'watchdog/6'}
{'vms': 0.0, 'username': 'root', 'pid': 45, 'name': 'migration/6'}
{'vms': 0.0, 'username': 'root', 'pid': 46, 'name': 'ksoftirqd/6'}
{'vms': 0.0, 'username': 'root', 'pid': 48, 'name': 'kworker/6:0H'}
{'vms': 0.0, 'username': 'root', 'pid': 49, 'name': 'cpuhp/7'}
{'vms': 0.0, 'username': 'root', 'pid': 50, 'name': 'watchdog/7'}
{'vms': 0.0, 'username': 'root', 'pid': 51, 'name': 'migration/7'}
{'vms': 0.0, 'username': 'root', 'pid': 52, 'name': 'ksoftirqd/7'}
{'vms': 0.0, 'username': 'root', 'pid': 54, 'name': 'kworker/7:0H'}
{'vms': 0.0, 'username': 'root', 'pid': 55, 'name': 'kdevtmpfs'}
{'vms': 0.0, 'username': 'root', 'pid': 56, 'name': 'netns'}
{'vms': 0.0, 'username': 'root', 'pid': 57, 'name': 'rcu_tasks_kthre'}
{'vms': 0.0, 'username': 'root', 'pid': 58, 'name': 'kauditd'}
{'vms': 0.0, 'username': 'root', 'pid': 61, 'name': 'khungtaskd'}
{'vms': 0.0, 'username': 'root', 'pid': 62, 'name': 'oom_reaper'}
{'vms': 0.0, 'username': 'root', 'pid': 63, 'name': 'writeback'}
{'vms': 0.0, 'username': 'root', 'pid': 64, 'name': 'kcompactd0'}
{'vms': 0.0, 'username': 'root', 'pid': 65, 'name': 'ksmd'}
{'vms': 0.0, 'username': 'root', 'pid': 66, 'name': 'khugepaged'}
{'vms': 0.0, 'username': 'root', 'pid': 67, 'name': 'crypto'}
{'vms': 0.0, 'username': 'root', 'pid': 68, 'name': 'kintegrityd'}
