--------------------------------------------------------------------------------
Process Logger Thu Apr 25 23:43:26 2019
--------------------------------------------------------------------------------
{'pid': 1, 'username': 'root', 'vms': 181.015625, 'name': 'systemd'}
{'pid': 2, 'username': 'root', 'vms': 0.0, 'name': 'kthreadd'}
{'pid': 4, 'username': 'root', 'vms': 0.0, 'name': 'kworker/0:0H'}
{'pid': 6, 'username': 'root', 'vms': 0.0, 'name': 'mm_percpu_wq'}
{'pid': 7, 'username': 'root', 'vms': 0.0, 'name': 'ksoftirqd/0'}
{'pid': 8, 'username': 'root', 'vms': 0.0, 'name': 'rcu_sched'}
{'pid': 9, 'username': 'root', 'vms': 0.0, 'name': 'rcu_bh'}
{'pid': 10, 'username': 'root', 'vms': 0.0, 'name': 'migration/0'}
{'pid': 11, 'username': 'root', 'vms': 0.0, 'name': 'watchdog/0'}
{'pid': 12, 'username': 'root', 'vms': 0.0, 'name': 'cpuhp/0'}
{'pid': 13, 'username': 'root', 'vms': 0.0, 'name': 'cpuhp/1'}
{'pid': 14, 'username': 'root', 'vms': 0.0, 'name': 'watchdog/1'}
{'pid': 15, 'username': 'root', 'vms': 0.0, 'name': 'migration/1'}
{'pid': 16, 'username': 'root', 'vms': 0.0, 'name': 'ksoftirqd/1'}
{'pid': 18, 'username': 'root', 'vms': 0.0, 'name': 'kworker/1:0H'}
{'pid': 19, 'username': 'root', 'vms': 0.0, 'name': 'cpuhp/2'}
{'pid': 20, 'username': 'root', 'vms': 0.0, 'name': 'watchdog/2'}
{'pid': 21, 'username': 'root', 'vms': 0.0, 'name': 'migration/2'}
{'pid': 22, 'username': 'root', 'vms': 0.0, 'name': 'ksoftirqd/2'}
{'pid': 24, 'username': 'root', 'vms': 0.0, 'name': 'kworker/2:0H'}
{'pid': 25, 'username': 'root', 'vms': 0.0, 'name': 'cpuhp/3'}
{'pid': 26, 'username': 'root', 'vms': 0.0, 'name': 'watchdog/3'}
{'pid': 27, 'username': 'root', 'vms': 0.0, 'name': 'migration/3'}
{'pid': 28, 'username': 'root', 'vms': 0.0, 'name': 'ksoftirqd/3'}
{'pid': 30, 'username': 'root', 'vms': 0.0, 'name': 'kworker/3:0H'}
{'pid': 31, 'username': 'root', 'vms': 0.0, 'name': 'cpuhp/4'}
{'pid': 32, 'username': 'root', 'vms': 0.0, 'name': 'watchdog/4'}
{'pid': 33, 'username': 'root', 'vms': 0.0, 'name': 'migration/4'}
{'pid': 34, 'username': 'root', 'vms': 0.0, 'name': 'ksoftirqd/4'}
{'pid': 36, 'username': 'root', 'vms': 0.0, 'name': 'kworker/4:0H'}
{'pid': 37, 'username': 'root', 'vms': 0.0, 'name': 'cpuhp/5'}
{'pid': 38, 'username': 'root', 'vms': 0.0, 'name': 'watchdog/5'}
{'pid': 39, 'username': 'root', 'vms': 0.0, 'name': 'migration/5'}
{'pid': 40, 'username': 'root', 'vms': 0.0, 'name': 'ksoftirqd/5'}
{'pid': 42, 'username': 'root', 'vms': 0.0, 'name': 'kworker/5:0H'}
{'pid': 43, 'username': 'root', 'vms': 0.0, 'name': 'cpuhp/6'}
{'pid': 44, 'username': 'root', 'vms': 0.0, 'name': 'watchdog/6'}
{'pid': 45, 'username': 'root', 'vms': 0.0, 'name': 'migration/6'}
{'pid': 46, 'username': 'root', 'vms': 0.0, 'name': 'ksoftirqd/6'}
{'pid': 48, 'username': 'root', 'vms': 0.0, 'name': 'kworker/6:0H'}
{'pid': 49, 'username': 'root', 'vms': 0.0, 'name': 'cpuhp/7'}
{'pid': 50, 'username': 'root', 'vms': 0.0, 'name': 'watchdog/7'}
{'pid': 51, 'username': 'root', 'vms': 0.0, 'name': 'migration/7'}
{'pid': 52, 'username': 'root', 'vms': 0.0, 'name': 'ksoftirqd/7'}
{'pid': 54, 'username': 'root', 'vms': 0.0, 'name': 'kworker/7:0H'}
{'pid': 55, 'username': 'root', 'vms': 0.0, 'name': 'kdevtmpfs'}
{'pid': 56, 'username': 'root', 'vms': 0.0, 'name': 'netns'}
{'pid': 57, 'username': 'root', 'vms': 0.0, 'name': 'rcu_tasks_kthre'}
{'pid': 58, 'username': 'root', 'vms': 0.0, 'name': 'kauditd'}
{'pid': 61, 'username': 'root', 'vms': 0.0, 'name': 'khungtaskd'}
{'pid': 62, 'username': 'root', 'vms': 0.0, 'name': 'oom_reaper'}
{'pid': 63, 'username': 'root', 'vms': 0.0, 'name': 'writeback'}
{'pid': 64, 'username': 'root', 'vms': 0.0, 'name': 'kcompactd0'}
{'pid': 65, 'username': 'root', 'vms': 0.0, 'name': 'ksmd'}
{'pid': 66, 'username': 'root', 'vms': 0.0, 'name': 'khugepaged'}
{'pid': 67, 'username': 'root', 'vms': 0.0, 'name': 'crypto'}
{'pid': 68, 'username': 'root', 'vms': 0.0, 'name': 'kintegrityd'}
{'pid': 69, 'username': 'root', 'vms': 0.0, 'name': 'kblockd'}
{'pid': 76, 'username': 'root', 'vms': 0.0, 'name': 'ata_sff'}
